month,role,atm_median,spread_median,observations
2014-10-01,source,7.7825,0.3950000000000004,161
2014-10-01,target,9.58625,0.7000000000000011,138
2014-11-01,source,8.92375,0.4000000000000003,140
2014-11-01,target,9.7625,0.7025000000000006,120
2014-12-01,source,9.49,0.4399999999999995,161
2014-12-01,target,11.059999999999999,0.9525000000000006,138
2015-01-01,source,10.69375,0.49999999999999956,154
2015-01-01,target,12.596250000000001,0.8499999999999996,132
2015-02-01,source,10.6675,0.5050000000000008,140
2015-02-01,target,12.755,0.8174999999999999,120
2015-03-01,source,11.235,0.5,154
2015-03-01,target,13.037500000000001,0.9849999999999994,132
2015-04-01,source,11.26375,0.5,154
2015-04-01,target,13.64375,1.0,132
2015-05-01,source,11.0125,0.450000000000001,147
2015-05-01,target,13.463750000000001,0.9500000000000002,126
2015-06-01,source,11.3325,0.4300000000000006,154
2015-06-01,target,13.49,0.9500000000000002,132
2015-07-01,source,10.2775,0.450000000000001,161
2015-07-01,target,12.10875,0.8949999999999996,138
2015-08-01,source,10.015,0.5,147
2015-08-01,target,12.3065,0.9425,126
2015-09-01,source,10.786249999999999,0.504999999999999,154
2015-09-01,target,13.05,0.9375,132
2015-10-01,source,9.49,0.4800000000000004,154
2015-10-01,target,11.93,0.9424999999999998,132
2015-11-01,source,11.1825,0.4900000000000002,147
2015-11-01,target,12.18125,0.8875000000000002,126
2015-12-01,source,9.925,0.5,161
2015-12-01,target,11.26875,0.9450000000000004,138
2016-01-01,source,10.015,0.5,147
2016-01-01,target,11.85,0.9450000000000004,126
2016-02-01,source,11.2775,0.5,147
2016-02-01,target,12.57875,0.955,126
2016-03-01,source,10.6725,0.5,161
2016-03-01,target,12.05125,0.9000000000000004,138
2016-04-01,source,11.22,0.5,147
2016-04-01,target,11.615,0.9849999999999994,126
2016-05-01,source,11.35125,0.4924999999999997,154
2016-05-01,target,11.719999999999999,0.8999999999999995,132
2016-06-01,source,11.46125,0.5999999999999996,154
2016-06-01,target,12.0425,0.9925000000000006,132
2016-07-01,source,11.23,0.5549999999999997,147
2016-07-01,target,11.46625,1.317499999999999,126
2016-08-01,source,10.24,0.5,161
2016-08-01,target,10.805,1.0999999999999996,138
2016-09-01,source,9.875,0.4799999999999995,154
2016-09-01,target,10.3275,1.0849999999999993,132
2016-10-01,source,9.9825,0.495000000000001,147
2016-10-01,target,10.54625,1.2749999999999995,126
2016-11-01,source,10.29375,0.5,154
2016-11-01,target,12.76875,1.75,132
2016-12-01,source,10.53875,0.5999999999999992,154
2016-12-01,target,13.8825,1.5,132
2017-01-01,source,10.35625,0.5274999999999999,154
2017-01-01,target,13.89625,1.5750000000000002,132
2017-02-01,source,10.120000000000001,0.4725000000000001,140
2017-02-01,target,13.375,1.4875000000000007,120
2017-03-01,source,9.1975,0.450000000000001,161
2017-03-01,target,12.911249999999999,1.2074999999999987,138
2017-04-01,source,8.618749999999999,0.4500000000000006,140
2017-04-01,target,12.120000000000001,1.1674999999999995,120
2017-05-01,source,7.745,0.4000000000000003,161
2017-05-01,target,10.78875,1.0575,138
2017-06-01,source,7.635,0.4000000000000003,154
2017-06-01,target,10.10275,1.0175,132
2017-07-01,source,7.725,0.3999999999999994,147
2017-07-01,target,10.195,0.9699999999999998,126
2017-08-01,source,8.0075,0.4050000000000002,161
2017-08-01,target,9.833749999999998,0.9025000000000007,138
2017-09-01,source,8.515,0.4250000000000007,147
2017-09-01,target,9.934000000000001,0.8999999999999986,126
2017-10-01,source,8.035,0.4049999999999993,154
2017-10-01,target,9.625,0.92,132
2017-11-01,source,7.46,0.4000000000000003,154
2017-11-01,target,10.0465,0.995000000000001,132
2017-12-01,source,7.1475,0.4249999999999998,147
2017-12-01,target,10.165,0.9500000000000002,126
2018-01-01,source,7.445,0.4049999999999993,161
2018-01-01,target,10.2025,0.892500000000001,138
2018-02-01,source,8.7325,0.455,140
2018-02-01,target,10.625,0.8975,120
2018-03-01,source,8.092500000000001,0.4000000000000003,154
2018-03-01,target,9.74,0.8499999999999996,132
2018-04-01,source,7.4475,0.3999999999999994,147
2018-04-01,target,10.2325,0.8499999999999996,126
2018-05-01,source,7.425,0.3999999999999994,161
2018-05-01,target,12.145,0.8375000000000004,138
2018-06-01,source,7.515,0.4000000000000003,147
2018-06-01,target,12.77,0.870000000000001,126
2018-07-01,source,7.455,0.3999999999999994,154
2018-07-01,target,11.955,0.8274999999999997,132
2018-08-01,source,7.6525,0.3999999999999994,161
2018-08-01,target,11.9635,0.902499999999999,138
2018-09-01,source,7.44375,0.3900000000000001,140
2018-09-01,target,11.3775,1.012500000000001,120
2018-10-01,source,7.4325,0.3699999999999992,161
2018-10-01,target,10.8625,0.8600000000000003,138
2018-11-01,source,7.358750000000001,0.36000000000000076,154
2018-11-01,target,12.3,0.8500000000000014,132
2018-12-01,source,7.63,0.4050000000000002,147
2018-12-01,target,11.846250000000001,0.8250000000000011,126
2019-01-01,source,7.9075,0.3799999999999999,161
2019-01-01,target,10.925,0.8149999999999995,138
2019-02-01,source,6.733750000000001,0.3499999999999996,140
2019-02-01,target,10.085,0.815,120
2019-03-01,source,6.225,0.3000000000000007,147
2019-03-01,target,8.989999999999998,0.8250000000000006,126
2019-04-01,source,5.69375,0.33249999999999996,154
2019-04-01,target,8.932500000000001,0.8449999999999998,132
2019-05-01,source,6.5075,0.3849999999999998,161
2019-05-01,target,8.7375,0.9175000000000004,138
2019-06-01,source,6.585,0.36499999999999977,140
2019-06-01,target,9.011,0.8274999999999997,120
2019-07-01,source,5.915,0.3099999999999996,161
2019-07-01,target,8.44775,0.9199999999999998,138
2019-08-01,source,7.715,0.4350000000000005,154
2019-08-01,target,9.313500000000001,0.875,132
2019-09-01,source,6.6275,0.3999999999999994,147
2019-09-01,target,9.1365,0.7999999999999998,126
2019-10-01,source,6.0725,0.3149999999999995,161
2019-10-01,target,8.6975,0.7549999999999994,138
2019-11-01,source,5.785,0.2500000000000004,147
2019-11-01,target,8.0875,0.7949999999999995,126
2019-12-01,source,5.407500000000001,0.2999999999999998,154
2019-12-01,target,7.340999999999999,0.7549999999999999,132
2020-01-01,source,5.34,0.2799999999999993,161
2020-01-01,target,7.165,0.7450000000000001,138
2020-02-01,source,5.69125,0.3274999999999997,140
2020-02-01,target,7.574,0.8000000000000003,120
2020-03-01,source,10.765,1.3600000000000012,154
2020-03-01,target,13.945,1.5,132
2020-04-01,source,8.965,0.8574999999999995,154
2020-04-01,target,15.639,1.5474999999999985,132
2020-05-01,source,7.825,0.4849999999999994,147
2020-05-01,target,13.309999999999999,1.2525000000000013,126
2020-06-01,source,7.45,0.43250000000000055,154
2020-06-01,target,11.681249999999999,1.3475000000000001,132
2020-07-01,source,7.125,0.4050000000000002,161
2020-07-01,target,11.5075,1.1950000000000005,138
2020-08-01,source,8.37,0.415,147
2020-08-01,target,12.915,0.9999999999999991,126
2020-09-01,source,8.36,0.4000000000000003,154
2020-09-01,target,13.174,1.0249999999999986,132
2020-10-01,source,7.42375,0.3999999999999994,154
2020-10-01,target,14.0575,1.049999999999999,132
2020-11-01,source,6.79,0.4000000000000003,147
2020-11-01,target,12.731,0.9949999999999992,126
2020-12-01,source,6.9225,0.3999999999999994,161
2020-12-01,target,12.20225,0.9025000000000007,138
2021-01-01,source,6.84,0.3999999999999994,147
2021-01-01,target,12.2975,0.8025000000000002,126
2021-02-01,source,6.8125,0.38999999999999924,140
2021-02-01,target,11.574,0.7175000000000011,120
2021-03-01,source,7.015,0.3999999999999986,161
2021-03-01,target,12.530249999999999,0.8550000000000004,138
2021-04-01,source,6.455,0.3849999999999998,154
2021-04-01,target,10.940249999999999,0.7900000000000009,132
2021-05-01,source,6.7,0.3249999999999993,147
2021-05-01,target,10.216249999999999,0.7799999999999994,126
2021-06-01,source,6.27125,0.2999999999999998,154
2021-06-01,target,9.748750000000001,0.75,132
2021-07-01,source,6.59,0.2999999999999998,154
2021-07-01,target,10.058499999999999,0.7149999999999999,132
2021-08-01,source,6.44625,0.2999999999999998,154
2021-08-01,target,9.72475,0.7000000000000002,132
2021-09-01,source,6.4125,0.2999999999999998,154
2021-09-01,target,9.225999999999999,0.6949999999999994,132
