scenario,method,mae,rmse,coverage,average_width,within_spread_rate,blend_weight_vae,count
random_20_percent,sticky_point,0.08705478635812304,0.24335971483558688,,,0.9953198127925117,0.0,19230
random_20_percent,vae_point_spread_scaled_interval,0.4824053098178452,1.3005547585618566,0.8676547061882476,1.6911608473338289,0.9336973478939158,0.0,19230
random_20_percent,validation_blend_hybrid_interval,0.09115891747198053,0.24322547651940193,0.9388975559022361,0.6705014197031662,0.9959958398335933,0.05,19230
full_3m_tenor,sticky_point,0.05349980499220081,0.1293315162403137,,,0.9979199167966719,0.0,19230
full_3m_tenor,vae_point_spread_scaled_interval,0.37507352906360597,0.9871125437327402,0.8464378575143006,1.0037483431155643,0.9384295371814872,0.0,19230
full_3m_tenor,validation_blend_hybrid_interval,0.05349980499220081,0.1293315162403137,0.9572022880915236,0.4693750000000012,0.9979199167966719,0.0,19230
full_10d_wings,sticky_point,0.10680939764257245,0.21167012299798754,,,0.9965678627145086,0.0,38460
full_10d_wings,vae_point_spread_scaled_interval,0.51225195003399,1.121102636973718,0.8725429017160686,2.2042190530178725,0.9293551742069682,0.0,38460
full_10d_wings,validation_blend_hybrid_interval,0.10977028522818134,0.2116263287175882,0.9469578783151326,0.7326393388264983,0.9969838793551742,0.05,38460
