scenario,method,mae,rmse,error_to_spread,within_spread_rate,within_half_spread_rate,count
random_20_percent,encoder_mu,0.48239725211422624,1.391556646022511,0.2989486657522021,0.9383255330213208,0.8376495059802392,19230
random_20_percent,latent_optimised,0.4368626751584639,1.3946008908584202,0.2733769377589339,0.9488299531981279,0.8552262090483619,19230
full_3m_tenor,encoder_mu,0.381486809638741,1.0176746825220566,0.27589847971114695,0.9391575663026521,0.844253770150806,19230
full_3m_tenor,latent_optimised,0.33130710105924105,0.9590703595608348,0.2620443203416844,0.9481539261570463,0.8589183567342694,19230
full_10d_wings,encoder_mu,0.5316241649040023,1.124106829659361,0.3461451294370866,0.9236089443577743,0.7883255330213208,38460
full_10d_wings,latent_optimised,0.46144542344886996,1.06611311787785,0.2967429994145912,0.941185647425897,0.8382995319812793,38460
