scenario,method,coverage,average_width,point_mae,count
random_20_percent,raw_vae_interval,0.16292251690067602,0.10938841661460624,0.48312386949875963,19230
random_20_percent,global_residual_interval,0.8949557982319293,1.908452033996582,0.48312386949875963,19230
random_20_percent,cell_residual_interval,0.8985439417576703,2.64536446229778,0.48312386949875963,19230
random_20_percent,spread_scaled_interval,0.8758190327613105,1.6734071856049444,0.48312386949875963,19230
full_3m_tenor,raw_vae_interval,0.16968278731149247,0.09143205787046961,0.38278788784952295,19230
full_3m_tenor,global_residual_interval,0.887467498699948,1.3149199485778809,0.38278788784952295,19230
full_3m_tenor,cell_residual_interval,0.8968278731149246,2.1889780092239377,0.38278788784952295,19230
full_3m_tenor,spread_scaled_interval,0.8559542381695268,1.0669387673178157,0.38278788784952295,19230
full_10d_wings,raw_vae_interval,0.12899115964638586,0.10419848059622248,0.5306613733915945,38460
full_10d_wings,global_residual_interval,0.8641445657826313,1.8141086578369174,0.5306613733915945,38460
full_10d_wings,cell_residual_interval,0.8797191887675507,1.9543436384201058,0.5306613733915945,38460
full_10d_wings,spread_scaled_interval,0.857904316172647,2.186182996743887,0.5306613733915945,38460
