scenario,regime,bucket,method,coverage,average_width,point_mae,hidden_quotes,included_surfaces
random_20_percent,high_spot_move,normal,global_residual_interval,0.8814565483476132,1.933211326599121,0.528009712346003,16340,3268
random_20_percent,high_spot_move,normal,cell_residual_interval,0.8945532435740514,2.9232513277833636,0.528009712346003,16340,3268
random_20_percent,high_spot_move,normal,spread_scaled_interval,0.8624235006119951,1.7573866555370141,0.528009712346003,16340,3268
random_20_percent,high_spot_move,stressed,global_residual_interval,0.9629757785467128,1.933211326599121,0.22455896304801082,2890,578
random_20_percent,high_spot_move,stressed,cell_residual_interval,0.9871972318339101,2.8927187426568524,0.22455896304801082,2890,578
random_20_percent,high_spot_move,stressed,spread_scaled_interval,0.8972318339100346,1.3167214921023656,0.22455896304801082,2890,578
random_20_percent,wide_vol_spread,normal,global_residual_interval,0.9662373825269753,1.933211326599121,0.2104289421421731,14365,2873
random_20_percent,wide_vol_spread,normal,cell_residual_interval,0.9906717716672467,2.914110769169209,0.2104289421421731,14365,2873
random_20_percent,wide_vol_spread,normal,spread_scaled_interval,0.8998955795335886,1.2521831514513833,0.2104289421421731,14365,2873
random_20_percent,wide_vol_spread,stressed,global_residual_interval,0.6795477903391572,1.933211326599121,1.285476330744116,4865,973
random_20_percent,wide_vol_spread,stressed,cell_residual_interval,0.665775950668037,2.93210332233147,1.285476330744116,4865,973
random_20_percent,wide_vol_spread,stressed,spread_scaled_interval,0.7724563206577595,2.9873406152212674,1.285476330744116,4865,973
random_20_percent,lower_liquidity_pair,normal,global_residual_interval,0.9615184607384295,1.933211326599121,0.22934265283778604,9615,1923
random_20_percent,lower_liquidity_pair,normal,cell_residual_interval,0.9879355174206969,2.939189353328987,0.22934265283778604,9615,1923
random_20_percent,lower_liquidity_pair,normal,spread_scaled_interval,0.8568902756110245,0.9381176797295148,0.22934265283778604,9615,1923
random_20_percent,lower_liquidity_pair,stressed,global_residual_interval,0.8258970358814353,1.933211326599121,0.735467966292993,9615,1923
random_20_percent,lower_liquidity_pair,stressed,cell_residual_interval,0.8290171606864275,2.898136061362478,0.735467966292993,9615,1923
random_20_percent,lower_liquidity_pair,stressed,spread_scaled_interval,0.8784191367654706,2.4442040117578023,0.735467966292993,9615,1923
full_3m_tenor,high_spot_move,normal,global_residual_interval,0.8847613219094247,1.4227409362792969,0.41238736687686905,16340,3268
full_3m_tenor,high_spot_move,normal,cell_residual_interval,0.8924112607099143,2.1519287234544002,0.41238736687686905,16340,3268
full_3m_tenor,high_spot_move,normal,spread_scaled_interval,0.8438188494492044,1.0533355424571766,0.41238736687686905,16340,3268
full_3m_tenor,high_spot_move,stressed,global_residual_interval,0.9588235294117647,1.4227409362792969,0.16410186238567567,2890,578
full_3m_tenor,high_spot_move,stressed,cell_residual_interval,0.9858131487889273,2.1519287234544695,0.16410186238567567,2890,578
full_3m_tenor,high_spot_move,stressed,spread_scaled_interval,0.8612456747404844,0.72338334356523,0.16410186238567567,2890,578
full_3m_tenor,wide_vol_spread,normal,global_residual_interval,0.9738252697528715,1.4227409362792969,0.1467692783875848,14365,2873
full_3m_tenor,wide_vol_spread,normal,cell_residual_interval,0.9943612948137835,2.151928723454466,0.1467692783875848,14365,2873
full_3m_tenor,wide_vol_spread,normal,spread_scaled_interval,0.8810302819352593,0.7042390572759982,0.1467692783875848,14365,2873
full_3m_tenor,wide_vol_spread,stressed,global_residual_interval,0.665775950668037,1.4227409362792969,1.0491928618756396,4865,973
full_3m_tenor,wide_vol_spread,stressed,cell_residual_interval,0.6468653648509763,2.1519287234545263,1.0491928618756396,4865,973
full_3m_tenor,wide_vol_spread,stressed,spread_scaled_interval,0.7442959917780062,1.8881164581467018,1.0491928618756396,4865,973
full_3m_tenor,lower_liquidity_pair,normal,global_residual_interval,0.9658866354654186,1.4227409362792969,0.16485248013756476,9615,1923
full_3m_tenor,lower_liquidity_pair,normal,cell_residual_interval,0.9911596463858554,2.1519287234545335,0.16485248013756476,9615,1923
full_3m_tenor,lower_liquidity_pair,normal,spread_scaled_interval,0.8196567862714509,0.5198923944688869,0.16485248013756476,9615,1923
full_3m_tenor,lower_liquidity_pair,stressed,global_residual_interval,0.8258970358814353,1.4227409362792969,0.5852945772792468,9615,1923
full_3m_tenor,lower_liquidity_pair,stressed,cell_residual_interval,0.821736869474779,2.1519287234545335,0.5852945772792468,9615,1923
full_3m_tenor,lower_liquidity_pair,stressed,spread_scaled_interval,0.8732189287571502,1.4876042905704916,0.5852945772792468,9615,1923
full_10d_wings,high_spot_move,normal,global_residual_interval,0.8626070991432069,2.016525077821032,0.561923939074735,32680,3268
full_10d_wings,high_spot_move,normal,cell_residual_interval,0.8930232558139535,2.4059508275980237,0.561923939074735,32680,3268
full_10d_wings,high_spot_move,normal,spread_scaled_interval,0.8644736842105263,2.294049952026834,0.561923939074735,32680,3268
full_10d_wings,high_spot_move,stressed,global_residual_interval,0.9711072664359861,2.0165250778196984,0.23140754947812653,5780,578
full_10d_wings,high_spot_move,stressed,cell_residual_interval,0.9852941176470589,2.4059508275987564,0.23140754947812653,5780,578
full_10d_wings,high_spot_move,stressed,spread_scaled_interval,0.918166089965398,1.6963170193252883,0.23140754947812653,5780,578
full_10d_wings,wide_vol_spread,normal,global_residual_interval,0.9665506439262095,2.016525077820798,0.23326635549658262,28730,2873
full_10d_wings,wide_vol_spread,normal,cell_residual_interval,0.9900800556909154,2.4059508275977883,0.23326635549658262,28730,2873
full_10d_wings,wide_vol_spread,normal,spread_scaled_interval,0.9039679777236338,1.6155682028228422,0.23326635549658262,28730,2873
full_10d_wings,wide_vol_spread,stressed,global_residual_interval,0.6201438848920864,2.016525077819454,1.3360192776494444,9730,973
full_10d_wings,wide_vol_spread,stressed,cell_residual_interval,0.6612538540596095,2.40595082759864,1.3360192776494444,9730,973
full_10d_wings,wide_vol_spread,stressed,spread_scaled_interval,0.7797533401849949,3.9423422751117507,1.3360192776494444,9730,973
full_10d_wings,lower_liquidity_pair,normal,global_residual_interval,0.950390015600624,2.0165250778198414,0.2835929819297247,19230,1923
full_10d_wings,lower_liquidity_pair,normal,cell_residual_interval,0.9855434217368695,2.4059508275980384,0.2835929819297247,19230,1923
full_10d_wings,lower_liquidity_pair,normal,spread_scaled_interval,0.8524700988039522,1.227249925988084,0.2835929819297247,19230,1923
full_10d_wings,lower_liquidity_pair,stressed,global_residual_interval,0.807436297451898,2.0165250778198414,0.7409109164033961,19230,1923
full_10d_wings,lower_liquidity_pair,stressed,cell_residual_interval,0.8282371294851794,2.4059508275980384,0.7409109164033961,19230,1923
full_10d_wings,lower_liquidity_pair,stressed,spread_scaled_interval,0.8926157046281852,3.181188181341005,0.7409109164033961,19230,1923
