variant,scenario,mae,rmse,error_to_spread,within_spread_rate,within_half_spread_rate,interval_90_coverage
target_only,random_20_percent,0.563469610752749,1.6028979721263346,0.3512481206509981,0.9203848153926157,0.7918876755070203,0.1171086843473739
target_only,full_3m_tenor,0.46701503797919547,1.3970922315110692,0.32553498248967,0.9338533541341654,0.8045241809672387,0.14123764950598025
target_only,full_10d_wings,0.5792427876204576,1.28019299175619,0.33733012193971373,0.9234009360374414,0.7959698387935518,0.1077483099323973
source_pretrained_target_finetuned,random_20_percent,0.4558733712932898,1.1861222691240376,0.29821480610221546,0.9385855434217368,0.8313572542901716,0.12147685907436298
source_pretrained_target_finetuned,full_3m_tenor,0.40042142748730514,1.0133540905087965,0.2844263908213562,0.9322932917316693,0.8314092563702548,0.16084243369734788
source_pretrained_target_finetuned,full_10d_wings,0.49022671541296436,1.0230080398317825,0.30662485867040634,0.9443577743109725,0.8122204888195528,0.11900676027041082
