variant,scenario,mae,rmse,error_to_spread,within_spread_rate,within_half_spread_rate,count
target_only,random_20_percent,0.2539603315378785,0.8713509741447653,0.1486041187616334,0.9837753510140406,0.9393655746229849,19230
target_only,full_3m_tenor,0.217392015652547,0.6746646798907534,0.14930305431238775,0.9806552262090483,0.9378575143005721,19230
target_only,full_10d_wings,0.21350316927982355,0.48387545949924865,0.1208513418047594,0.9952418096723868,0.9539781591263651,38460
source_pretrained_target_finetuned,random_20_percent,0.2044722924594735,0.5554100149718914,0.1284539970340332,0.9892875715028601,0.9516380655226209,19230
source_pretrained_target_finetuned,full_3m_tenor,0.219021245983206,0.6233453142890064,0.1422823395469141,0.987207488299532,0.9360894435777432,19230
source_pretrained_target_finetuned,full_10d_wings,0.23140424373361088,0.5937554426385461,0.12399083602422502,0.9891055642225689,0.9479199167966719,38460
